SOURCE_DRUG	UNIPROT	P_SCORE	DIRECTIONALITY	PUBCHEM_ID	DRUGBANK_ID	DRUGBANK_GROUP	ATCCODES
Loperamide	CAC1A_HUMAN	-16.79645095	Inhibitory	CID3955	DB00836	approved	A07DA05|A07DA03
Josamycin	CP3A4_HUMAN	-7.52023445	Inhibitory	CID28107			
Baclofen	PD2R_HUMAN	-1.68507	Inhibitory	CID2284	DB00181	approved	M03BX01
Lynestrenol	CERU_HUMAN	2.6001408	Stimulatory	CID5857			
Danazol	SERC_HUMAN	5.15499962	Stimulatory	CID28417	DB01406	approved	G03XA01
Perphenazine	PRL_HUMAN	1.18459872	Stimulatory	CID4748	DB00850	approved	N05AB03
Aciclovir	CRIS3_HUMAN	-2.68107236	Inhibitory	CID2022	DB00787	approved	J05AB01|D06BB03|S01AD03
Guanabenz	ZNF32_HUMAN	0.78408	Stimulatory	CID5702063	DB00629	approved	
Lisuride	5HT1A_HUMAN	14.59167362	Stimulatory	CID28864	DB00589	approved	G02CB02|N02CA07
Glibenclamide	GYS1_HUMAN	10.33578736	Stimulatory	CID3488	DB01016	approved	A10BB01
Albendazole	MDR3_HUMAN	-9.98852199	Inhibitory	CID2082	DB00518	approved	P02CA03
Labetalol	ADCY2_HUMAN	-3.38598663	Inhibitory	CID3869	DB00598	approved	C07AG01
Oxybutynin	CP2C8_HUMAN	-14.73268328	Inhibitory	CID4634	DB01062	approved|investigational	G04BD04
Oxytetracycline	LDHA_HUMAN	9.62278856	Stimulatory	CID54675779	DB00595	approved	D06AA03|G01AA07|S01AA04|J01AA06
Guanethidine	INS_HUMAN	-14.17370407	Inhibitory	CID3518	DB01170	approved	C02CC02|S01EX01
Clonidine	ZN225_HUMAN	-5.01198369	Inhibitory	CID2803	DB00575	approved	N02CX02|S01EA03|C02AC01|S01EA04
Antazoline	INS_HUMAN	14.17370407	Stimulatory	CID2200	DB08799	approved	R01AC04
Vinpocetine	KCNH2_HUMAN	-13.8191394	Inhibitory	CID443955			
Cinnarizine	DRD3_HUMAN	-13.78460911	Inhibitory	CID1547484	DB00568	approved	N07CA02
Spiperone	5HT1A_HUMAN	-14.59167362	Inhibitory	CID5265			
Pimozide	HAP1_HUMAN	-36.99321104	Inhibitory	CID16362	DB01100	approved	N05AG02
Mepacrine	SMC3_HUMAN	-24.86063012	Inhibitory	CID237	DB01103	approved	
BUPROPION	COLI_HUMAN	-17.52627854	Inhibitory	CID444	DB01156	approved	N06AX12
Etacrynic Acid	CO2_HUMAN	-7.70867207	Inhibitory	CID3278	DB00903	approved	C03CC01
Clomipramine	ELK3_HUMAN	-6.1945048	Inhibitory	CID2801	DB01242	approved	N06AA04
Methylprednisolone	BCL2_HUMAN	94.67015348	Stimulatory	CID6741	DB00959	approved	
mepyramine	KCNQ2_HUMAN	-9.7517416	Inhibitory	CID4992			
Mifepristone	BRPF3_HUMAN	-0.45	Inhibitory	CID55245	DB00834	approved|investigational	G03XB01
Amodiaquine	CP2C9_HUMAN	-18.59477645	Inhibitory	CID2165	DB00613	approved	P01BA06
Alprenolol	GPA33_HUMAN	-1.7251212	Inhibitory	CID2119	DB00866	approved|withdrawn	C07AA01
Praziquantel	CSN4_HUMAN	-17.35664616	Inhibitory	CID4891	DB01058	approved	P02BA01
Sulfinpyrazone	DDR1_HUMAN	9.96675771	Stimulatory	CID5342	DB01138	approved	M04AB02
Streptomycin	S22A6_HUMAN	-0.772245	Inhibitory	CID19649	DB01082	approved	A07AA04|J01GA01|S01AA15
Tremorine, oxo-	G6PI_HUMAN	-16.890907640000002	Inhibitory	CID4630			
Furosemide	S12A2_HUMAN	-6.42978	Inhibitory	CID3440	DB00695	approved	
Chlortalidone	S12A1_HUMAN	-6.04869138	Inhibitory	CID2732	DB00310	approved	C03BA04
Bambuterol	BFAR_HUMAN	1.56816	Stimulatory	CID54766	DB01408	approved	R03CC12
Ketotifen	GCC1_HUMAN	-13.27081938	Inhibitory	CID3827	DB00920	approved	S01GX08|R06AX17
Terbutaline	BFAR_HUMAN	1.881792	Stimulatory	CID5403	DB00871	approved	R03AC03|R03CC03
Alfuzosin	ADA1A_HUMAN	-9.40182774	Inhibitory	CID2092	DB00346	approved|investigational	G04CA01
Practolol	DMPK_HUMAN	-12.59326838	Inhibitory	CID4883	DB01297	approved	C07AB01
Dobutamine	TIMP1_HUMAN	19.41941618	Stimulatory	CID36811	DB00841	approved	C01CA07
Betamethasone	CP19A_HUMAN	16.23609381	Stimulatory	CID9782	DB00443	approved	S03BA03|R03BA04|A07EA04|H02AB01|C05AA05|D07AC01|D07XC01|S02BA07|S01BA06|R01AD06|S01CB04
Debrisoquine	ELK3_HUMAN	6.1945048	Stimulatory	CID2966	DB04840	approved	C02CC04
Betaxolol	EDN1_HUMAN	-11.72754588	Inhibitory	CID2369	DB00195	approved	S01ED02|C07AB05
Ketanserin	SOX10_HUMAN	-21.98908765	Inhibitory	CID3822			
Zidovudine	IL2_HUMAN	56.8489803	Stimulatory	CID35370	DB00495	approved	J05AF01
Desipramine	MDR3_HUMAN	-10.35060591	Inhibitory	CID2995	DB01151	approved	N06AA01
Enoxacin	TOP2A_HUMAN	-39.34375037	Inhibitory	CID3229	DB00467	approved	J01MA19|J01MA04
Methotrexate	ANGL7_HUMAN	0.7968032	Stimulatory	CID126941	DB00563	approved	L01BA01|L04AX03
Nicardipine	EDN1_HUMAN	-11.72754588	Inhibitory	CID4474	DB00622	approved	C08CA04
Hemicholinium	CLIP2_HUMAN	-2.6455538	Inhibitory	CID3585			
Phenylpropanolamine	ADA1D_HUMAN	8.65949505	Stimulatory	CID26934	DB00397	approved|withdrawn	R01BA01
Sulfafurazole	CP2C9_HUMAN	-18.59477645	Inhibitory	CID5344	DB00263	approved	S01AB02|J01EB05
Clorgiline	TRXR2_HUMAN	-6.58471722	Inhibitory	CID4380	DB04017	experimental	
Metergoline	5HT3A_HUMAN	1.56816	Stimulatory	CID28693			
Methylergometrine	CP3A4_HUMAN	-7.52023445	Inhibitory	CID8226	DB00353	approved	G02AB01
Kanamycin	PDIA3_HUMAN	15.73894386	Stimulatory	CID6032	DB01172	approved	S01AA24|J01GB04|A07AA08
ASCORBIC ACID	HMOX1_HUMAN	-8.0209936	Inhibitory	CID54670067	DB00126	approved|nutraceutical	G01AD03|S01XA15|A11GA01
Zaprinast	AL7A1_HUMAN	-1.0738729	Inhibitory	CID5722			
Clenbuterol	ZGLP1_HUMAN	0.78408	Stimulatory	CID2783	DB01407	approved	R03AC14|R03CC13
Brinzolamide	CAH5A_HUMAN	-7.33979025	Inhibitory	CID68844	DB01194	approved	S01EC04
Metitepine	PSD7_HUMAN	-32.95307989	Inhibitory	CID4106			
Amikacin	ASGR1_HUMAN	1.29484826	Stimulatory	CID37768	DB00479	approved	J01GB06|S01AA21|D06AX12
Methyldopa	PNMT_HUMAN	2.8422252	Stimulatory	CID38853	DB00968	approved	C02AB02|C02AB01
Chlormezanone	ACBP_HUMAN	2.5604168	Stimulatory	CID2717	DB01178	approved|withdrawn	M03BB02
Maprotiline	MDR1_HUMAN	-15.92327197	Inhibitory	CID4011	DB00934	approved	N06AA21
ADENOSINE PHOSPHATE	HAS1_HUMAN	2.3452848	Stimulatory	CID6083	DB00131	approved|nutraceutical	
Ambroxol	TF3C3_HUMAN	-5.70319755	Inhibitory	CID2132			
Clofazimine	MDR1_HUMAN	-15.92327197	Inhibitory	CID2794	DB00845	approved|investigational	J04BA01
Vanoxerine [inn]	NUPL2_HUMAN	1.26736	Stimulatory	CID38003			
Etoposide	PEA15_HUMAN	-11.51991481	Inhibitory	CID3310			
Cefoperazone	S22A6_HUMAN	-0.772245	Inhibitory	CID2630			
Sulfaphenazole	CP1A2_HUMAN	-18.50781706	Inhibitory	CID5335	DB06729	approved	S01AB05|J01ED08
Procaine	SCNAA_HUMAN	-5.907845	Inhibitory	CID4914	DB00721	approved|investigational	J01CE09|C01BA02|D04AB03|S01HA05|N01BA02|C05AD05|S01HA02|N01BA04
Metrifonate	ENOPH_HUMAN	-0.35	Inhibitory	CID5853			
Allantoin	PFD4_HUMAN	8.25522547	Stimulatory	CID204			
Benzonatate	SCN3A_HUMAN	-1.29066667	Inhibitory	CID7699	DB00868	approved	R05DB01
Epirizole	ITB2_HUMAN	20.67616688	Stimulatory	CID3242			
Moxisylyte	MSX2_HUMAN	-17.37197682	Inhibitory	CID4260			
Imipramine	DCOR_HUMAN	3.35401316	Stimulatory	CID3696	DB00458	approved	N06AA06|N06AA03|N06AA02
Acetazolamide	CAH14_HUMAN	-10.20066245	Inhibitory	CID1986	DB00819	approved	S01EC01
Hydroflumethiazide	CAH4_HUMAN	-11.18608159	Inhibitory	CID3647	DB00774	approved	C03AA02
Sulfadiazine	CP2C9_HUMAN	-18.59477645	Inhibitory	CID5215	DB00359	approved	J01EC02|D06BA01
Diprophylline	PDE7B_HUMAN	-9.41648966	Inhibitory	CID3182	DB00651	approved	R03DA01
Triflupromazine	VGFR3_HUMAN	-10.83747245	Inhibitory	CID5568	DB00508	approved	
Noretynodrel	ESR2_HUMAN	44.63556616	Stimulatory	CID6231			
Triamterene	SCNNG_HUMAN	-6.17081781	Inhibitory	CID5546	DB00384	approved	C03DB02
Mefenamic Acid	CP2C8_HUMAN	-14.73268328	Inhibitory	CID4044	DB00784	approved	M01AG01
thiamphenicol, 3-fluoro	HGF_HUMAN	-26.9106743	Inhibitory	CID114811			
Dapsone	PDE7A_HUMAN	-12.77305604	Inhibitory	CID2955	DB00250	approved|investigational	J04BA02|D10AX05
Naproxen	CSH_HUMAN	-4.17015825	Inhibitory	CID156391	DB00788	approved	G02CC02|M02AA12|M01AE02
Acetohexamide	IRK1_HUMAN	-11.24324019	Inhibitory	CID1989	DB00414	withdrawn	A10BB31
Diphenhydramine	GLGB_HUMAN	9.34171819	Stimulatory	CID3100	DB01075	approved	D04AA32|D04AA33
Piracetam	DHE3_HUMAN	-9.3111653	Inhibitory	CID4843			
Molsidomine	KLF3_HUMAN	-9.77109771	Inhibitory	CID5353788			
Dirithromycin	IL1A_HUMAN	46.64798836	Stimulatory	CID4580358			
Artemisinin	MDM2_HUMAN	-57.68902104	Inhibitory	CID2240			
Budesonide	RGDSR_HUMAN	0.6563844	Stimulatory	CID5281004	DB01222	approved	R03BA02|A07EA06|R01AD05|D07AC09
Triflusal	ARHG3_HUMAN	-1.56816	Inhibitory	CID9458			
Phenindione	TMOD3_HUMAN	-2.28602304	Inhibitory	CID4760	DB00498	approved	B01AA02
Chloroquine	KLRB1_HUMAN	0.6318575	Stimulatory	CID2719	DB00608	approved	P01BA01|P01BA02
Gliclazide	OLR1_HUMAN	-1.024	Inhibitory	CID3475	DB01120	approved	A10BB09
Ceftazidime	TNFA_HUMAN	19.63179288	Stimulatory	CID5481173	DB00438	approved	J01DD02
Propafenone	HXK1_HUMAN	-11.14748172	Inhibitory	CID4932	DB01182	approved	C01BC03
Mesoridazine	5HT2A_HUMAN	-21.64094097	Inhibitory	CID4078	DB00933	approved	N05AC03
Trimetazidine	ILRL1_HUMAN	-8.13114281	Inhibitory	CID21109			
Cyclizine	CP2CJ_HUMAN	-16.20168249	Inhibitory	CID6726	DB01176	approved	R06AE04|R06AE03
Trolox C	NOL12_HUMAN	4.58667562	Stimulatory	CID40634			
parthenolide	TNR6_HUMAN	-49.70161402	Inhibitory	CID4692			
Prenylamine	KRIT1_HUMAN	2.44622119	Stimulatory	CID9801	DB04825	withdrawn	C01DX02
Tubocurarine Chloride	TCPZ_HUMAN	-22.7982937	Inhibitory	CID23422			
Tetracaine	KNG1_HUMAN	-13.41473568	Inhibitory	CID5411			
Laudanosine (R,S)	ACHA7_HUMAN	-4.34299392	Inhibitory	CID15548			
Thiamine	PNKD_HUMAN	-0.7888392	Inhibitory	CID1130	DB00152	approved|nutraceutical	A11DA01
Mometasone	DYST_HUMAN	-17.83884234	Inhibitory	CID123620	DB00764	approved	D07XC03|R01AD09|D07AC13|R03BA07
Raubasine	ATIF1_HUMAN	-3.04811741	Inhibitory	CID168978			
AJMALINE	RL5_HUMAN	-61.09523564	Inhibitory	CID20367			
Harmol	BID_HUMAN	-20.61938607	Inhibitory	CID68094			
Stachydrine	VAS1_HUMAN	3.07403714	Stimulatory	CID554			
Dipivefrine	ADRB2_HUMAN	14.8516408	Stimulatory	CID3105	DB00449	approved	S01EA02
Noscapine	SPS2_HUMAN	0.2822688	Stimulatory	CID275196			
Tomatidine	PGH2_HUMAN	-25.30124101	Inhibitory	CID65576			
Papaverine	MYO9A_HUMAN	-2.732409	Inhibitory	CID4680	DB01113	approved	G04BE02|A03AD01
Monocrotaline	PPLA_HUMAN	-8.4840948	Inhibitory	CID9415			
Harmine	PPBT_HUMAN	1.30495172	Stimulatory	CID5280953	DB07919	experimental	
Pyridoxine	ORC1_HUMAN	24.98209886	Stimulatory	CID1054	DB00165	approved|nutraceutical	
Dacarbazine	6PGD_HUMAN	-38.1233643	Inhibitory	CID5281007	DB00851	approved|investigational	L01AX04
Ellipticine	HRH3_HUMAN	0.4310048	Stimulatory	CID3213			
Cytisine	TGM2_HUMAN	18.7324651	Stimulatory	CID10235			
Riboflavin	LYSC_HUMAN	5.55331527	Stimulatory	CID1072			
Atropine	GPI8_HUMAN	-9.74333742	Inhibitory	CID174174	DB00572	approved	N04AC30|A03BA01|A03BB02|S01FA05|S01FA01
Ipratropium bromide	TPIS_HUMAN	-15.29341882	Inhibitory	CID31098			
Physostigmine	GNL3_HUMAN	4.22292026	Stimulatory	CID5983	DB00981	approved	S01EB05|V03AB19
Acepromazine	CP070_HUMAN	-2.88021629	Inhibitory	CID6077	DB01614	approved	
BERBERINE	BCL2_HUMAN	-94.67015348	Inhibitory	CID2353	DB04115	experimental	
Cinchonidine	THRB_HUMAN	21.74013258	Stimulatory	CID2757			
Demecarium bromide	ENOPH_HUMAN	-0.4	Inhibitory	CID5965	DB00944	approved	S01EB04
Racecadotril	INS_HUMAN	14.17370407	Stimulatory	CID107751			
Aconitine	P66A_HUMAN	-1.59344672	Inhibitory	CID2012			
Quipazine	RENI_HUMAN	5.05791216	Stimulatory	CID5011			
Folic Acid	METK2_HUMAN	9.81654963	Stimulatory	CID6037	DB00158	approved|nutraceutical	
Chloramphenicol	IL6_HUMAN	-60.94400105	Inhibitory	CID5959	DB00446	approved	S02AA01|D10AF03|D06AX02|G01AA05|S03AA08|S01AA01|J01BA01
Canrenoic acid potassium salt	CLIP2_HUMAN	2.6455538	Stimulatory	CID16219160			
Ursolic Acid	ACES_HUMAN	-3.12243036	Inhibitory	CID64945			
Gentamicin	ACTHR_HUMAN	-6.06212893	Inhibitory	CID3467	DB00798	approved	S01AA11|S03AA06|J01GB03|D06AX07|S02AA14
Methocarbamol	CAH1_HUMAN	-14.01138621	Inhibitory	CID4107	DB00423	approved	M03BA03
Aceclofenac	GDF15_HUMAN	6.59554741	Stimulatory	CID71771			
Rescinnamine	ACE_HUMAN	-2.97992	Inhibitory	CID5280954	DB01180	approved	C02AA01
Galantamine	P66A_HUMAN	-1.59344672	Inhibitory	CID9651	DB00674	approved	N06DA04
Xylazine	PTH_HUMAN	0.6	Stimulatory	CID5707			
sparteine	INS_HUMAN	14.17370407	Stimulatory	CID3966			
Palmatine	TNFA_HUMAN	-19.63179288	Inhibitory	CID19009			
Bicuculline	JUN_HUMAN	144.87144945	Stimulatory	CID10237			
Canavanine	VIME_HUMAN	-96.35517255	Inhibitory	CID275			
Gramine	PDIA1_HUMAN	-19.81403157	Inhibitory	CID6890			
Emetine	IBP5_HUMAN	-15.48625513	Inhibitory	CID10219			
Yohimbic acid methyl ester	GPM6B_HUMAN	-2.35923304	Inhibitory	CID8969	DB01392	approved	G04BE04
Boldine	ADIPO_HUMAN	6.36703181	Stimulatory	CID10154			
Harmaline	AOFA_HUMAN	-9.08177242	Inhibitory	CID5280951			
Harman	CP27B_HUMAN	2.5583364	Stimulatory	CID5281404			
Glimepiride	M3K14_HUMAN	-73.48545072	Inhibitory	CID3476	DB00222	approved	A10BB12
Vitexin	HIF1A_HUMAN	-45.77123245	Inhibitory	CID5280441			
Dydrogesterone	AK1C3_HUMAN	-8.27902211	Inhibitory	CID9051	DB00378	approved|withdrawn	G03DB01
Trihexyphenidyl	VGFR3_HUMAN	-10.83747245	Inhibitory	CID5572	DB00376	approved	N04AA01
Picrotoxinin	ELOC_HUMAN	13.50029013	Stimulatory	CID4816			
Benzocaine	DX39B_HUMAN	-18.94119113	Inhibitory	CID2337	DB01086	approved	C05AD03|D04AB04|N01BA05|R02AD01
Flunisolide	GCR_HUMAN	59.54477788	Stimulatory	CID82153	DB00180	approved|investigational	R03BA03|R01AD04
Mepenzolate bromide	VGFR3_HUMAN	-10.83747245	Inhibitory	CID6461			
Promazine	ADA1A_HUMAN	-9.40182774	Inhibitory	CID4926	DB00420	approved	N05AA04|N05AA05|N05AA02|N05AA03|N05AA01
Metamizole sodium	HAP1_HUMAN	36.99321104	Stimulatory	CID522325	DB04817	withdrawn	
Citiolone	IMB1_HUMAN	56.42978789	Stimulatory	CID14520			
Benfotiamine	ALDR_HUMAN	-3.84975752	Inhibitory	CID2320			
Sulfamerazine Sodium Injection	CP2CJ_HUMAN	-16.20168249	Inhibitory	CID15899899			
Isosorbide	MCL1_HUMAN	-30.4191149	Inhibitory	CID12597			
Fludroxycortide	GCR_HUMAN	59.54477788	Stimulatory	CID15209	DB00846	approved	
Acacetin	FOS_HUMAN	36.11064078	Stimulatory	CID5280442			
Beta-Escin, beta-Reparil, beta-Aescinu	NCOA1_HUMAN	39.60955368	Stimulatory	CID6441501			
Lycorine	TNFA_HUMAN	-19.63179288	Inhibitory	CID72378			
Ethotoin	SC61G_HUMAN	-0.45	Inhibitory	CID3292	DB00754	approved	N03AB01
Benzamil	ACE_HUMAN	-2.97992	Inhibitory	CID108107			
Gossypol	CASP8_HUMAN	67.53080088	Stimulatory	CID3503			
Diphenylpyraline	HRH1_HUMAN	-0.3155072	Inhibitory	CID3103	DB01146	approved	V01AA02|V01AA20|R06AA07
Finasteride	PSA_HUMAN	-14.77090365	Inhibitory	CID57363	DB01216	approved	D11AX10|G04CB01
Tiapride	DRD2_HUMAN	-20.60134128	Inhibitory	CID5467			
Griseofulvin	HEMH_HUMAN	11.80704067	Stimulatory	CID441140			
Dilazep	CCL2_HUMAN	-35.07237328	Inhibitory	CID3074			
Riluzole	SC61G_HUMAN	-0.47025	Inhibitory	CID5070	DB00740	approved|investigational	N07XX02
Sulfamethoxazole	DYST_HUMAN	17.83884234	Stimulatory	CID5329	DB01015	approved	J01EC01
Nalidixic Acid	S22A6_HUMAN	-0.772245	Inhibitory	CID4421	DB00779	approved	J01MB02
Metaraminol	ADA1A_HUMAN	9.40182774	Stimulatory	CID5906	DB00610	approved|investigational	C01CA09
Kawain	TNFA_HUMAN	-19.63179288	Inhibitory	CID5281565			
Mebendazole	MDR3_HUMAN	-9.98852199	Inhibitory	CID4030	DB00643	approved	P02CA01
Ofloxacin	SIA8B_HUMAN	4.29602702	Stimulatory	CID4583	DB01165	approved	J01MA01|S02AA16|S01AE01
Pentolonium	ACHA4_HUMAN	-7.02537876	Inhibitory	CID5850	DB01090	approved	
Salbutamol	VEGFA_HUMAN	21.56951889	Stimulatory	CID2083	DB01001	approved	R03AC02|R03CC02
Trimethoprim	CP2CJ_HUMAN	-16.20168249	Inhibitory	CID5578	DB00440	approved	J01EA01
Tropicamide	ACM4_HUMAN	-1.56816	Inhibitory	CID5593	DB00809	approved	S01FA06
Lomefloxacin	CP1A2_HUMAN	-21.15179093	Inhibitory	CID3948	DB00978	approved	S01AE04|J01MA07
Hydralazine	COMT_HUMAN	-17.58434765	Inhibitory	CID3637	DB01275	approved	C02DB01|C02DB02
6-Benzylaminopurine	COX5B_HUMAN	3.92672288	Stimulatory	CID62389			
Prilocaine	SC61G_HUMAN	-0.45	Inhibitory	CID4906	DB00750	approved	N01BB04
Metoclopramide	CPN2_HUMAN	-7.91312341	Inhibitory	CID4168	DB01233	approved|investigational	A03FA01
Ketoprofen	S22A8_HUMAN	-0.512	Inhibitory	CID3825	DB01009	approved	M01AE17|M01AE03|M02AA10
Orphenadrine	SCNAA_HUMAN	-6.17369803	Inhibitory	CID4601	DB01173	approved	N04AB02|M03BC01
Phenelzine	SKIV2_HUMAN	-8.92680917	Inhibitory	CID3675	DB00780	approved	N06AF03
Camptothecin	MDR1_HUMAN	-15.92327197	Inhibitory	CID24360	DB04690	experimental	
Indapamide	RENI_HUMAN	5.05791216	Stimulatory	CID3702	DB00808	approved	C03BA11
Mexiletine	SCN3A_HUMAN	-1.29066667	Inhibitory	CID4178	DB00379	approved	C01BB02
Vincamine	CAC1C_HUMAN	-9.51575398	Inhibitory	CID15376			
Dantrolene	TAP1_HUMAN	-23.77247649	Inhibitory	CID6914273	DB01219	approved	M03CA01
Flutamide	CCND2_HUMAN	25.11516775	Stimulatory	CID3397	DB00499	approved	L02BB01
Fenbendazole	SKIV2_HUMAN	-8.92680917	Inhibitory	CID3334			
Proglumide	PA1_HUMAN	-0.722	Inhibitory	CID4922			
Lisinopril	MDR3_HUMAN	-9.98852199	Inhibitory	CID5362119	DB00722	approved|investigational	
Ifenprodil	BEX2_HUMAN	-2.91618845	Inhibitory	CID3689			
Flavoxate	ACM1_HUMAN	-0.8582496	Inhibitory	CID3354	DB01148	approved	G04BD02
Difenidol	VGFR3_HUMAN	-10.83747245	Inhibitory	CID3055	DB01231	approved|withdrawn	
Triprolidine	ADCY2_HUMAN	-3.38598663	Inhibitory	CID688585			
Fenoterol	B2LA1_HUMAN	7.71537762	Stimulatory	CID3343	DB01288	approved	R03CC04|G02CA03|R03AC04
Trazodone	ZNF32_HUMAN	-0.78408	Inhibitory	CID5533	DB00656	approved|investigational	N06AX05
Lincomycin	CRDL1_HUMAN	-1.36564507	Inhibitory	CID3928			
Flunarizine	HRH1_HUMAN	-0.3155072	Inhibitory	CID941361	DB04841	approved	N07CA03
Norethisterone	PPIL1_HUMAN	1.1522623	Stimulatory	CID6230	DB00717	approved	G03AC01
Doxepin	ADA2C_HUMAN	-1.521	Inhibitory	CID3158			
Cortisone	NXF2_HUMAN	3.7270802	Stimulatory	CID222786			
Glafenine	PPLA_HUMAN	8.4840948	Stimulatory	CID3474			
Telenzepine	PA1_HUMAN	-0.722	Inhibitory	CID5387			
Aminoglutethimide	CP19A_HUMAN	-16.23609381	Inhibitory	CID2145	DB00357	approved	L02BG01
Nortriptyline	IF4G2_HUMAN	-13.62791693	Inhibitory	CID4543	DB00540	approved	N06AA10
Dyclonine	DX39B_HUMAN	-18.94119113	Inhibitory	CID3180	DB00645	approved	N01BX02|R02AD04
Diethylcarbamazine	PGH1_HUMAN	-13.52420365	Inhibitory	CID3052	DB00711	approved	P02CB02
Econazole	RGDSR_HUMAN	-0.6563844	Inhibitory	CID3198	DB01127	approved	D01AC03|G01AF05
Enalapril	ACE_HUMAN	-2.97992	Inhibitory	CID5388961			
Niflumic Acid	TSPOB_HUMAN	-0.7944098	Inhibitory	CID4488	DB04552	approved	M02AA17|M01AX02
Dimenhydrinate	HRH1_HUMAN	-0.3155072	Inhibitory	CID10660			
Fenofibrate	CETP_HUMAN	-11.90831887	Inhibitory	CID3339	DB01039	approved	C10AB05
Chenodeoxycholic acid	CFDP1_HUMAN	-0.722	Inhibitory	CID10133	DB06777	approved	A05AA01
Pergolide	TY3H_HUMAN	-8.55613632	Inhibitory	CID47811	DB01186	approved|withdrawn	N04BC02
Bupivacaine	DX39B_HUMAN	-19.79354473	Inhibitory	CID2474	DB00297	approved|investigational	N01BB01|N01BB10
Pinacidil	LDH6B_HUMAN	-0.7423725	Inhibitory	CID4826			
Isotretinoin	SKIV2_HUMAN	7.81095803	Stimulatory	CID5282379	DB00982	approved	
Disopyramide	VGFR3_HUMAN	-11.41998659	Inhibitory	CID3114	DB00280	approved	C01BA03
Bumetanide	INS_HUMAN	-14.17370407	Inhibitory	CID2471	DB00887	approved	C03CA02
Perhexiline	CPT1A_HUMAN	-3.04772813	Inhibitory	CID4746	DB01074	approved	C08EX02
Clemastine	CP3A4_HUMAN	-7.52023445	Inhibitory	CID26987	DB00283	approved	R06AA04|D04AA14
Digoxin	TOP2B_HUMAN	-14.5884383	Inhibitory	CID2724385	DB00390	approved	C01AA02|C01AA08|C01AA05
Meclozine	HRH1_HUMAN	-0.3155072	Inhibitory	CID4034	DB00737	approved	R06AE05
Naringin	GRAB_HUMAN	-18.3764954	Inhibitory	CID25075			
Progesterone	ATRN1_HUMAN	0.74498	Stimulatory	CID5994	DB00396	approved	G03DA04|G03DA02|G03AC06|L02AB02|G03DA03
Butoconazole	CP51A_HUMAN	-6.74134716	Inhibitory	CID47472	DB00639	approved	G01AF15
Biotin	CP1B1_HUMAN	24.16219593	Stimulatory	CID171548	DB00121	approved|nutraceutical	A11HA05
Cephaeline	MCFD2_HUMAN	1.51492208	Stimulatory	CID442195			
Melatonin	ALDR_HUMAN	3.84975752	Stimulatory	CID896	DB01065	approved|nutraceutical	N05CH01
Neostigmine Bromide	BPL1_HUMAN	-2.91606597	Inhibitory	CID8246			
Amiodarone	SOS1_HUMAN	39.66208889	Stimulatory	CID2157	DB01118	approved|investigational	C01BD01
Colecalciferol	DYRL1_HUMAN	-0.39375	Inhibitory	CID6221			
Carbimazole	NFKB1_HUMAN	-58.5283759	Inhibitory	CID31072	DB00389	approved	H03BB01
Pilocarpine	SODM_HUMAN	19.74734288	Stimulatory	CID5910	DB01085	approved	N07AX01|S01EB01
Menadione	NOS1_HUMAN	21.421546	Stimulatory	CID4055	DB00170	approved|nutraceutical	B02BA02
Niridazole	PPLA_HUMAN	8.4840948	Stimulatory	CID6093			
Amphotericin B	HGF_HUMAN	26.9106743	Stimulatory	CID5280965	DB00681	approved|investigational	A07AA07|J02AA01|A01AB04|G01AA03
Ergocalciferol	CENPH_HUMAN	4.06198403	Stimulatory	CID5280793	DB00153	approved|nutraceutical	A11CC01
Cisapride	PAHO_HUMAN	3.44195514	Stimulatory	CID2769	DB00604	approved|investigational|withdrawn	A03FA02
Epiandrosterone	DHE3_HUMAN	-9.39335717	Inhibitory	CID441302			
Dicloxacillin	ADSV_HUMAN	-0.89472774	Inhibitory	CID18381	DB00485	approved	J01CF01
Dinoprost	RBM19_HUMAN	6.24113723	Stimulatory	CID5280363			
PUROMYCIN	MYC_HUMAN	164.03578319	Stimulatory	CID4984			
Serotonin	TDGF1_HUMAN	-13.06715291	Inhibitory	CID5202			
Metixene	ACM1_HUMAN	-0.8582496	Inhibitory	CID4167	DB00340	approved	N04AA03
Vigabatrin	DCE1_HUMAN	-9.48086516	Inhibitory	CID5665	DB01080	approved	N03AG04
Fluoxetine	GRAB_HUMAN	-18.76748467	Inhibitory	CID3386	DB00472	approved	N06AB03
GLYCOCHOLIC ACID	LIF_HUMAN	10.92558015	Stimulatory	CID10140			
Pirenperone	ST1A3_HUMAN	-4.23055872	Inhibitory	CID4847			
Ciclopirox	GCR_HUMAN	-52.10168065	Inhibitory	CID2749	DB01188	approved|investigational	G01AX12|D01AE14
Cefotiam	S22A6_HUMAN	-0.926694	Inhibitory	CID43708	DB00229	approved	J01DC07
Biperiden	MDR3_HUMAN	-9.98852199	Inhibitory	CID2381	DB00810	approved	N04AA02
Iohexol	KNG1_HUMAN	-13.41473568	Inhibitory	CID3730	DB01362	approved	V08AB02
Thiostrepton (USP)	TOP2A_HUMAN	-39.34375037	Inhibitory	CID16129638			
Probenecid	S22A6_HUMAN	-0.926694	Inhibitory	CID4911	DB01032	approved	M04AB01
Selegiline	PPIG_HUMAN	3.66569316	Stimulatory	CID26757	DB01037	approved|investigational	N04BD01
Omeprazole	HAP1_HUMAN	3.6993211	Stimulatory	CID4594	DB00338	approved|investigational	A02BC05|A02BC01
